N_sim,segsID,transition,trans_no,avg_time,SE_time,avg_edge.length,avg_Nchanges
8,20,megaherbivore->other,20,216.59463078956435,0.1205233497582732,4463.8672699999925,16
8,20,megaherbivore->other,21,216.765693476164,0.11992488109503592,4463.8672699999925,16
8,20,megaherbivore->other,22,217.02789444042446,0.10735104069847841,4463.8672699999925,16
8,20,megaherbivore->other,23,217.17289632420434,0.10535644469885178,4463.8672699999925,16
8,20,megaherbivore->other,24,217.28805885469757,0.09002785588170946,4463.8672699999925,16
8,20,megaherbivore->other,25,217.32895787560403,0.10164231642159739,4463.8672699999925,16
8,20,megaherbivore->other,26,217.3474856819967,0.1000071254290216,4463.8672699999925,16
8,20,megaherbivore->other,27,217.40840494403983,0.09295721123247727,4463.8672699999925,16
9,13,megaherbivore->other,1,113.57463873895425,5.783018122236668,198.74943799999954,1
9,15,megaherbivore->other,2,143.5199249450732,4.929804078489724,431.09134519999895,1
9,17,megaherbivore->other,3,166.16498958610745,3.3929302793033167,644.7230123999987,1
9,19,megaherbivore->other,4,180.4325629508114,2.2518791684893174,921.82253209999806,4
9,19,megaherbivore->other,5,190.59270228127568,1.6820181782074632,1282.6117323999972,4
9,19,megaherbivore->other,6,195.86315371566462,1.3558362816133698,1723.5427650999964,4
9,19,megaherbivore->other,7,200.54568858615994,1.028689211960931,2105.0472338999953,4
9,20,megaherbivore->other,8,203.6404175674731,0.730701799587104,2644.7870010999945,13
9,20,megaherbivore->other,9,205.68848603324517,0.6610030569896063,3198.393352299994,13
9,20,megaherbivore->other,10,207.51376655519675,0.5980545598296422,3544.0179798999934,13
9,20,megaherbivore->other,11,209.16631190648658,0.5670698416470016,3785.431415299993,13
9,20,megaherbivore->other,12,210.7905877115222,0.41063549204109345,4099.945601599993,13
9,20,megaherbivore->other,13,211.9683775776983,0.3660666145820527,4216.991007799993,13
9,20,megaherbivore->other,14,212.94900291050655,0.3221319180260459,4354.144486799993,13
9,20,megaherbivore->other,15,213.82725854344298,0.28645574951567826,4436.436574199993,13
9,20,megaherbivore->other,16,214.70101154768204,0.23731376713153493,4436.436574199993,13
9,20,megaherbivore->other,17,215.36134299934656,0.20494764608103613,4436.159496464639,13
9,20,megaherbivore->other,18,215.89702039749713,0.16954447776803616,4435.876764081625,13
9,20,megaherbivore->other,19,216.2994963734533,0.13356232534737159,4463.8672699999925,13
9,20,megaherbivore->other,20,216.59463078956435,0.1205233497582732,4463.8672699999925,13
10,7,megaherbivore->other,1,113.57463873895425,5.783018122236668,198.74943799999954,1
10,13,megaherbivore->other,2,143.5199249450732,4.929804078489724,431.09134519999895,1
10,14,megaherbivore->other,3,166.16498958610745,3.3929302793033167,644.7230123999987,1
10,15,megaherbivore->other,4,180.4325629508114,2.2518791684893174,921.82253209999806,1
10,19,megaherbivore->other,5,190.59270228127568,1.6820181782074632,1282.6117323999972,4
10,19,megaherbivore->other,6,195.86315371566462,1.3558362816133698,1723.5427650999964,4
10,19,megaherbivore->other,7,200.54568858615994,1.028689211960931,2105.0472338999953,4
10,19,megaherbivore->other,8,203.6404175674731,0.730701799587104,2644.7870010999945,4
10,20,megaherbivore->other,9,205.68848603324517,0.6610030569896063,3198.393352299994,11
10,20,megaherbivore->other,10,207.51376655519675,0.5980545598296422,3544.0179798999934,11
10,20,megaherbivore->other,11,209.16631190648658,0.5670698416470016,3785.431415299993,11
10,20,megaherbivore->other,12,210.7905877115222,0.41063549204109345,4099.945601599993,11
10,20,megaherbivore->other,13,211.9683775776983,0.3660666145820527,4216.991007799993,11
10,20,megaherbivore->other,14,212.94900291050655,0.3221319180260459,4354.144486799993,11
10,20,megaherbivore->other,15,213.82725854344298,0.28645574951567826,4436.436574199993,11
10,20,megaherbivore->other,16,214.70101154768204,0.23731376713153493,4436.436574199993,11
10,20,megaherbivore->other,17,215.36134299934656,0.20494764608103613,4436.159496464639,11
10,20,megaherbivore->other,18,215.89702039749713,0.16954447776803616,4435.876764081625,11
